Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2014-01-02,30.694440841674805,30.89268404274723,30.644879253664506,30.851381143920918,30632200
2014-01-03,30.487930297851562,30.74399370343831,30.23186689226481,30.72747317879066,31134800
2014-01-06,29.843652725219727,30.47141705705095,29.82713219662303,30.43837599985756,43603700
2014-01-07,30.074941635131836,30.14102376668242,29.90973945722484,30.008862654550715,35802800
2014-01-08,29.53803253173828,29.85191632477314,29.3893540518472,29.736275756541655,59971700
2014-01-09,29.348047256469727,29.661931007883005,29.240668543618636,29.63715178968179,36516300
2014-01-10,29.76931381225586,29.860175149822712,29.52977085884668,29.653673255704902,40548800
2014-01-13,28.89374351501465,29.75279211712639,28.76984427397868,29.72801289911294,45901900
2014-01-14,29.554548263549805,29.63715090670746,28.60464149950163,28.687240991690633,41623300
2014-01-15,30.36403465270996,30.38881702064537,29.612367945353334,29.653670841589488,44812600
2014-01-16,30.471420288085938,30.56228162951792,29.99233751185682,30.306218135570422,38018700
2014-01-17,30.050142288208008,30.421846151844903,29.86016101367523,30.421846151844903,46267500
2014-01-21,29.8767032623291,30.41360964031777,29.78584504308838,30.41360964031777,31567300
2014-01-22,29.678451538085938,30.00059397858842,29.529769926935757,29.951032391215445,21904300
2014-01-23,29.785829544067383,29.843649813029305,29.339784768388277,29.81060875906011,43954000
2014-01-24,30.405330657958984,31.01657431171287,30.17404646513482,30.93397483989787,76395500
2014-01-27,29.761058807373047,30.47142599044818,29.719759049257657,30.45490545700811,44420800
2014-01-28,29.959293365478516,30.058413386391287,29.529769073564967,29.83539097611106,36205500
2014-01-29,30.281442642211914,30.463165347440142,29.65367816655795,29.719757145114983,52745900
2014-01-30,30.446638107299805,30.463158636041733,29.926252480319373,30.388817832187385,35036300
2014-01-31,31.256126403808594,31.297426151888843,30.198837728303985,30.520980174686244,93162300
2014-02-03,30.132753372192383,31.380026467956437,30.091453627180083,31.173524591926363,64063100
2014-02-04,30.025381088256836,30.71922773899607,29.94278157189461,30.53750817280526,54697900
2014-02-05,29.58759117126465,30.12449735697805,29.5710706415999,29.975815740964148,55814400
2014-02-06,29.88495445251465,29.942774730952085,29.48020935248376,29.571070690305113,35351800
2014-02-07,30.198850631713867,30.223629860955963,29.74454375580781,30.000607344866665,33260500
2014-02-10,30.397075653076172,30.397075653076172,29.975813210576597,30.256655889232505,26767000
2014-02-11,30.702709197998047,30.777050027936266,30.446648790076235,30.4631693246147,32141400
2014-02-12,30.95050621032715,31.057884931121404,30.81008327787231,30.85138302825233,27051800
2014-02-13,31.06613540649414,31.27263723381626,30.834854368203075,30.834854368203075,37635500
2014-02-14,31.074398040771484,31.20655910100832,30.834858285382868,30.88441671361654,31407500
2014-02-18,31.140993118286133,31.440586305835794,31.132672496231205,31.31575792742228,32834000
2014-02-19,31.215877532958984,31.41560729403507,30.96621771256152,30.97454150551299,29750400
2014-02-20,31.415607452392578,31.515470746135573,31.124338189560135,31.265810924479645,27526100
2014-02-21,31.60701560974121,31.91492930528152,31.507152309084343,31.573726784656557,38021300
2014-02-24,31.36567497253418,31.60701418159751,31.24084664600266,31.365674972534176,32085100
2014-02-25,31.2408447265625,31.498825156968806,31.082724411568442,31.29909857695081,30736500
2014-02-26,31.182592391967773,31.40728718635805,30.949573804490687,31.274135068341245,41041800
2014-02-27,31.507160186767578,31.53212522452449,30.982872171687244,31.165957580832288,33903400
2014-02-28,31.88164710998535,32.00647545568551,31.473866894997673,31.607019035169632,41215000
2014-03-03,31.440563201904297,31.731835553359087,31.199227244476646,31.557070872647838,29717500
2014-03-04,31.96487045288086,32.02312432389586,31.68192171883748,31.790108839835856,26802400
2014-03-05,31.715194702148438,31.848346794295367,31.565398201658603,31.831702385952465,20520100
2014-03-06,31.74848175048828,31.82337999656147,31.532107628678578,31.74015795948231,23582200
2014-03-07,31.540435791015625,31.923247690847052,31.365671076226015,31.85667005195643,26591600
2014-03-10,31.473857879638672,31.631975008740167,31.390639006342415,31.615333773758135,19006600
2014-03-11,31.64029884338379,31.815060382298896,31.390639048562704,31.515467358674982,25216400
2014-03-12,31.84834861755371,31.98150071732335,31.4488923182448,31.457212935594445,30494100
2014-03-13,31.532121658325195,31.99815574953359,31.32407123495319,31.973187540002634,32169700
2014-03-14,31.373994827270508,31.740162316899426,31.21587452241077,31.332385390316674,27195600
2014-03-17,31.665266036987305,31.964859081109022,31.448895046564253,31.540437718334417,20479600
2014-03-18,32.91355895996094,33.20483130361119,31.80673294295835,31.840018580424676,64063900
2014-03-19,32.68054962158203,32.91356499958376,32.380956607238986,32.84699053783888,35597200
2014-03-20,33.56267547607422,33.82897960258576,32.655576053083145,32.663896668151054,59269800
2014-03-21,33.421207427978516,34.070323491113434,33.296375950638875,33.88724134550399,80721800
2014-03-24,33.70415115356445,33.82065882245625,33.17154285314717,33.57099907846013,46098400
2014-03-25,33.571006774902344,34.1119389897372,33.25476933355597,33.837310986163516,43193100
2014-03-26,33.113304138183594,33.87892812596717,32.95518379426505,33.687522129021275,41977500
2014-03-27,32.75545120239258,33.26309461997285,32.73880679161655,33.07168865794364,35369200
2014-03-28,33.5377197265625,33.82066836279957,33.02175568681142,33.113298359505286,43472700
2014-03-31,34.1119384765625,34.53635981481363,33.62093949919936,33.64590452656809,46886300
2014-04-01,34.469783782958984,34.61125968537047,34.17851453475402,34.24509217697042,32605000
2014-04-02,34.41154479980469,34.66952851295237,34.26174821469933,34.48644309235736,28666700
2014-04-03,34.12858963012695,34.36160826014186,33.878929760094366,34.36160826014186,30139600
2014-04-04,33.179866790771484,34.444813218201105,32.98846086205859,34.32830553764509,51409600
2014-04-07,33.12161636352539,33.51275205249349,33.07168630933987,33.254768465681,37559600
2014-04-08,33.13825225830078,33.22979490024789,32.62228839184839,33.079998426988205,35918600
2014-04-09,33.679195404052734,33.745769872636146,33.18819639668766,33.22980583637689,27398700
2014-04-10,32.75545120239258,33.86227753492615,32.53075641881131,33.65422716212091,45960800
2014-04-11,32.63062286376953,33.113301299152,32.45586129561949,32.45586129561949,34330200
2014-04-14,32.60566329956055,32.79706931218939,32.37264783629023,32.54740943374296,32006600
2014-04-15,33.08000183105469,33.25476334297608,32.49746028338735,32.73879942342891,33968700
2014-04-16,33.62093734741211,33.63757858152849,33.213157270440924,33.33798874848828,30615800
2014-04-17,33.29637145996094,33.45449173321167,32.88027082441004,33.29637145996094,36688400
2014-04-21,33.238128662109375,33.412893399766574,33.11330033475076,33.39624898786604,22221200
2014-04-22,33.27973556518555,33.404563871111726,33.14658346743977,33.25476736432317,27056700
2014-04-23,33.03008270263672,33.279745740012984,32.847000496384155,33.279745740012984,24602800
2014-04-24,33.17156219482422,33.26310489507189,32.705528072925944,33.07169887391664,42381600
2014-04-25,33.213165283203125,33.85396088755353,33.080013155974285,33.52940277584555,56876800
2014-04-28,34.01206588745117,34.36159208059641,33.362949896090576,33.40455932573749,50610200
2014-04-29,33.71247100830078,34.27836810836777,33.61260774787596,34.2034698694002,29636200
2014-04-30,33.62093734741211,33.704156216379445,33.4295282345138,33.62093734741211,35458700
