Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2014-01-02,54.28400421142578,54.79003525829575,53.768052694124485,54.40307256656839,43195500
2014-01-03,54.13517379760742,55.21668674142216,54.10540481668055,54.591591131879305,38246200
2014-01-06,56.75461959838867,56.81414999295864,53.629145193649975,53.996263171811535,68852600
2014-01-07,57.46900939941406,58.094105021819786,56.774462913401564,57.25072498309348,77207400
2014-01-08,57.77659606933594,57.95519481579402,56.784382493455205,57.15150045673264,56682400
2014-01-09,56.77446365356445,58.50091320558089,56.208902201869975,58.19332941062098,92253300
2014-01-10,57.488853454589844,57.84605094893917,56.61570822950752,56.68516287729829,42449500
2014-01-13,55.47467041015625,57.79645072814595,54.94879833575953,57.45909790296813,63010900
2014-01-14,57.29042053222656,57.330106203511875,55.66318688969267,56.020384426224624,37503600
2014-01-15,57.15150451660156,58.113952964773496,56.82407598149849,57.528546762018614,33663400
2014-01-16,56.74469757080078,57.56823672130556,56.387503834371486,56.81415222385604,34541800
2014-01-17,55.86162567138672,57.36979081779115,55.633416994528716,56.85383928467953,40849200
2014-01-21,58.054412841796875,58.12387127212876,56.060065282113854,56.15928512259775,48669200
2014-01-22,57.06220626831055,58.84819389517046,56.65539881663573,58.391772732198056,61352900
2014-01-23,56.18905258178711,56.238662500686196,55.25636945250985,55.931074947521154,47951800
2014-01-24,54.02603530883789,55.9806936729133,53.97642538213452,55.71279931171612,55200700
2014-01-27,53.13303756713867,54.51221386668523,51.44627368873858,54.30384991891082,73924100
2014-01-28,54.710662841796875,54.84957215427233,53.579539828788306,53.59938455699835,48191200
2014-01-29,53.11320114135742,54.52214664291242,52.77584831295651,54.184793814511515,92995600
2014-01-30,60.604408264160156,62.013349753768416,59.98923310940674,61.636307527467046,150178900
2014-01-31,62.08280944824219,62.87657963260224,59.70149511016723,59.9991622411727,87794600
2014-02-03,61.00129318237305,63.27346329096288,60.22736776643198,62.539223543407424,74866600
2014-02-04,62.261409759521484,62.64837249744762,61.338650714469225,61.56685941157964,45985500
2014-02-05,61.70576477050781,62.668213210345954,60.79293004055404,62.251485299278706,51685100
2014-02-06,61.676002502441406,62.29117392728541,60.98145216600729,60.98145216600729,42086500
2014-02-07,63.81917953491211,64.06723293913207,61.73553245346226,61.78514237730734,60704300
2014-02-10,63.05517578125,63.98785523605483,62.97580065860441,63.79933979289589,43666100
2014-02-11,64.34505462646484,64.49388819013228,62.85673412976948,63.25362110955281,45675600
2014-02-12,63.94816207885742,64.55341296708151,63.551282703618995,64.4145036717503,47282100
2014-02-13,66.80574798583984,66.80574798583984,63.551288370742924,63.68027342219864,61911700
2014-02-14,66.5676040649414,67.05379415942751,66.20048989276506,66.97441525788015,36694900
2014-02-18,66.7759780883789,67.0141072319988,65.55555203359755,66.41878058795456,43809900
2014-02-19,67.53006744384766,68.54212973863395,66.47832325945323,66.52793697644897,62087100
2014-02-20,69.08782958984375,69.56409544413765,65.21820264240743,67.20262982365229,130928900
2014-02-21,68.05592346191406,69.41525874463797,67.91701417112343,69.14736441810992,70932400
2014-02-24,70.22887420654297,70.88373878638943,68.00631796310306,68.20475764609301,76620300
2014-02-25,69.30612182617188,70.44716903582037,68.90923485281726,70.39755532540502,52077000
2014-02-26,68.7207260131836,70.66546404257613,68.31391474464219,69.64348509769032,55322700
2014-02-27,68.4032211303711,69.4648895832653,68.33376646784494,68.80010059052594,41653700
2014-02-28,67.92694854736328,69.33589017530987,66.85535594160544,68.929086497377,66783700
2014-03-03,66.88512420654297,67.52014032200431,65.99213042855382,66.43862353255379,56824100
2014-03-04,68.2643051147461,68.36352497006028,67.09349265406328,68.12539580330828,42013500
2014-03-05,71.01273345947266,71.40962044929718,69.07791979281392,69.14737444828398,74567700
2014-03-06,70.28841400146484,71.33024140152189,69.70301155933029,71.320317145048,46026500
2014-03-07,69.25652313232422,70.62577538913308,68.92909077635137,70.52655552762349,38927000
2014-03-10,71.4691390991211,71.58820744749114,69.96097786970937,70.21894793619514,59871600
2014-03-11,69.55416870117188,72.02477833386851,69.41525940905166,71.93548274750066,59408300
2014-03-12,70.32808685302734,70.79442838733158,68.46272828579833,69.3160324613363,46340500
2014-03-13,68.29405975341797,70.79443454263294,67.61935424363162,70.73490415264808,57091000
2014-03-14,67.19271087646484,68.88939534207091,66.93473320292551,67.95671207080612,48227000
2014-03-17,68.20476531982422,68.41312928140334,66.10127719150763,67.64912808894655,52197000
2014-03-18,68.6512680053711,69.05807168408005,67.7681984220868,68.22461581356039,40827000
2014-03-19,67.70865631103516,68.75048365544592,66.94465514312606,68.63141529408806,43981000
2014-03-20,66.44856262207031,67.69875419034177,66.29972903084904,67.48046593254936,44439000
2014-03-21,66.71644592285156,67.39115153006615,65.6647018413072,67.00418879930966,59999900
2014-03-24,63.60089111328125,66.83550961298631,62.86665515886593,66.66683511548358,85696000
2014-03-25,64.3847427368164,65.67462350167669,63.283384986663684,64.3847427368164,68786000
2014-03-26,59.91977310180664,64.44426427281607,59.899928377460824,64.23590034467625,97503900
2014-03-27,60.495269775390625,61.41802880813443,57.52854918253784,60.038848602263,112650000
2014-03-28,59.5427360534668,61.46763284637813,58.877954762921384,60.86238194901918,67052000
2014-03-31,59.77095413208008,61.04098643943009,59.40383234292841,60.306746646121596,53011000
2014-04-01,62.132415771484375,62.172105224649144,59.770950083099294,59.989234505516364,59291000
2014-04-02,62.23163986206055,63.41237271493644,61.72560879297473,62.71782241942343,66277000
2014-04-03,59.026790618896484,62.67813330158419,58.66959310586316,62.062961909690486,83859000
2014-04-04,56.30812454223633,59.73126238594391,55.88147237065857,59.47328471778333,125214400
2014-04-07,56.506568908691406,57.54839249865079,55.00832415680188,55.46474531873202,108488000
2014-04-08,57.736907958984375,58.25285948462594,56.72484963387914,57.23088068892901,78836000
2014-04-09,61.92405319213867,61.973663117196736,58.72912405647004,59.16570048096816,100215000
2014-04-10,58.69935607910156,62.68805518182381,58.223094008104134,62.588835336405616,114988000
2014-04-11,58.07426071166992,59.84040349087718,56.86376269524067,57.15150176222305,91452000
2014-04-14,58.43145751953125,59.97931207749695,57.33009983261282,59.62211458065914,72325000
2014-04-15,58.62990951538086,59.21531576806258,55.44490434731361,58.828353018577126,108623000
2014-04-16,59.2550048828125,59.721342759880926,57.29042216102737,59.32445954078003,78774000
2014-04-17,58.48107147216797,60.10830504601579,58.262787041830535,58.8382689936225,88040000
2014-04-21,60.76316452026367,60.76316452026367,58.68943787691957,58.997021680600874,60364000
2014-04-22,62.53922653198242,62.94603398608325,61.735535880097366,62.16218806183662,60631000
2014-04-23,60.88222885131836,62.98572068397301,60.78300521747003,62.955955486315816,95908700
2014-04-24,60.39604187011719,63.154398302056514,59.304608404274255,63.104784593159,138769000
2014-04-25,57.260643005371094,59.54273341111128,57.12173371410781,59.50304774574628,92502000
2014-04-28,55.70287322998047,57.855978800301095,54.23439749471318,57.59800113390589,107758000
2014-04-29,57.697227478027344,57.82621253228633,55.405212495877905,55.65326591790727,75557000
2014-04-30,59.31452941894531,59.38398407004521,56.71493077564952,57.131662467243515,76093000
2014-05-01,60.67387008666992,61.795068857583445,59.74118677370387,59.959475001844005,82429000
2014-05-02,59.989234924316406,61.40810071240845,59.71141632021266,60.82269452162226,54189000
2014-05-05,60.74332046508789,60.87230551354422,58.7192037239885,59.20538628969704,46057000
2014-05-06,58.07426071166992,60.67386306505518,58.03457504432392,60.5051847851053,55901000
2014-05-07,56.943138122558594,58.83826595461902,55.8219356903465,58.31239395574716,78587000
2014-05-08,56.31803894042969,58.36200019816512,56.06006508508166,56.78438051605243,61251000
2014-05-09,56.794307708740234,57.20111513032736,55.94100341346127,56.40734122821099,52584000
2014-05-12,59.36414337158203,59.43359802296657,57.52854588286252,57.52854588286252,48575000
